,fslistno,fskname,fsinhabit,fsguide,fslifetime,imgfilename1,imgfilename2
0,1,가래나무,깊은 산속,쌍떡잎식물 가래나무목 : 가래나무과의 낙엽활엽 교목,"높이가 20m 정도이며 나무껍질은 암회색이며 세로로 터진다. 잎은 홀수 깃꼴겹잎이며 작은잎은 7~17개이며, 긴 타원형으로 길이 7~28cm, 나비 10cm 정도이다. 잔톱니가 있고  앞면은 잔 털이 있으나 점차 없어지고, 뒷면은 털이 있거나 없는 것도 있으며 잎맥 위에 선모가 있다. 
꽃은 단성화로서 4월에 피는데, 수꽃이삭은 길이 10~20cm 이고, 수술은 12~14개이며 암꽃이삭에 4~10개의 꽃이 핀다. 열매는 핵과로서 달걀 모양 원형이고, 길이가 4~8cm이며 9월에 익는다. 외과피에는 선모가 빽빽이 나고, 내과피는 흑갈색인데 매우 굳으며 양 끝이 뾰족하다. 한국(중부 이북) · 중국 북동부 시베리아(아무르 · 우수리)등지에 분포한다.",http://www.forest.go.kr/images/data/down/story/mok2-2.jpg,http://www.forest.go.kr/images/data/down/story/mok1-2.jpg
1,10,광대싸리,"산기슭 중턱, 볕이 잘 드는 강가",쌍떡잎식물 쥐손이풀목 : 대극과의 낙엽 관목,"높이 3~4m의 관목이지만 10m까지 자라는 것도 있다. 가지는 끝이 밑으로 처지고 갈색이다. 잎은 어긋나고 막질이며 타원형이다. 잎은 길이 2~6cm, 나비 12~25mm로서 양면에 털이 없고 앞면은 짙은 녹색이며 뒷면은 흰빛이 돈다. 잎자루는 길이 3~7mm이고 턱잎은 1mm정도로 곧 떨어진다. 
꽃은 단성화로 6~7월 에 노랗게 피는데 수꽃은 잎겨드랑이에 붙고 꽃받침과 수술이 각각 5개씩이다. 암꽃은 잎겨드랑이에 보통 2~5개씩 붙는다. 씨방은 3실이고 암술머리는 3개이며 암술대는 1개이다. 열매는 삭과로서 3줄의 홈이 있으며 9~10월에 익는데 3조각으로 갈라져서 6개의 씨가 나온다. 한국 · 일본 · 타이완 등지에 분포한다.",http://www.forest.go.kr/images/data/down/story/mok2-20.jpg,http://www.forest.go.kr/images/data/down/story/mok1-20.jpg
2,100,회양목,산지의 석회암지대,쌍떡잎식물 무환자나무목 : 회양목과의 상록관목,높이 20m에 달하고 나무껍질에 연한 회색으로 코르크가 발달하여 깊은 홈이 진다. 잎은 마주 달리고 홀수깃꼴겹잎이다. 꽃은 6월에 피고 원추꽃차례로 달리며 2가화이다. 열매는 핵과로 7~10월에 둥글고 검게 익으며 겨울에도 달려 있다. 한국 · 일본 · 중국 · 아무르 등지에 분포한다.,http://www.forest.go.kr/images/data/down/story/mok1-202.jpg,http://www.forest.go.kr/images/data/down/story/mok2-202.jpg
3,101,회화나무,산지 ,쌍떡잎식물 장미목 : 콩과 낙엽교목,"높이 25m에 달하며 가지가 퍼지고 작은가지는 녹색이며 자르면 냄새가 난다. 잎은 어긋나고 1회 깃꼴겹잎이며 작은잎은 7~17개씩이고 달걀 모양 또는 달걀 모양의 타원형이며, 뒷면에는 작은잎자루와 더불어 누운털이 있다.   
꽃은 8월에 연한 황색으로 피고 원추꽃차례로 달린다. 꼬투리는 길이 5~8cm이고 종자가 들어 있는 사이가 잘룩하게 들어가며 밑으로 처진다. 한국 · 일본 · 중국에 분포한다.",http://www.forest.go.kr/images/data/down/story/mok1-204.jpg,http://www.forest.go.kr/images/data/down/story/mok2-204.jpg
4,102,갈대,"습지나 갯가, 호수 주변모래땅",외떡잎식물 화본목 : 화본과의 여러해살이풀,"습지나 갯가, 호수 주변의 모래땅에 군락을 이루고 자란다. 뿌리줄기의 마디에서 많은 황색의 수염뿌리가 난다. 줄기는 마디가 있고 속이 비었으며, 높이는 3m정도이다. 잎은 가늘고 긴 바소꼴이며 끝이 뾰족하다. 잎집은 줄기를 둘러싸고 털이 있다. 꽃은 8~9월에 피고, 수많은 작은 꽃 이삭이 줄기 끝에 원추꽃차례로 달리며, 처음에는 자주색이나 담백색으로 변한다. 
포영은 호영보다 짧고 3맥이 있으며, 첫째 작은 꽃은 수꽃이다, 양성소화의 호영은 안쪽으로 말려서 끝이 까락처럼 되고, 수술은 3개이며 꽃밥은 2mm정도이다. 열매는 영과이고 종자에 갓털이 있어 바람에 쉽게 날려 멀리 퍼지며, 번식은 종자와 땅속 줄기로 잘 된다.",http://www.forest.go.kr/images/data/down/story/cho1-208.jpg,http://www.forest.go.kr/images/data/down/story/cho2-208.jpg
5,103,개망초,"길가, 빈터",쌍떡잎식물 초롱꽃목 : 국화과의 두해살이풀 ,"높이는 30~100cm로 풀 전체에 털이 나며 가지를 많이 친다. 뿌리에 달린 잎은 꽃이 필 때 시들고 긴 잎자루가 있으며 달걀 모양이고 가장자리에 뾰족한 톱니가 있다. 줄기에 달린 잎은 어긋나고 밑은 달걀 모양 또는 달걀 모양 바소꼴로 길이 4~15cm, 나비 1.5~3cm이다. 
잎 양면에 털이 나고 드문드문 톱니가 있으며 잎자루에는 날개가 있다. 줄기 윗부분의 잎은 좁은 달걀 모양 또는 바소꼴로 톱니가 있고 가장자리와 뒷면 맥 위에도 털이 있다. 6~9월에 흰색 또는 연한 자줏빛 두상화가를 이루며, 가지 끝과 줄기 끝에 가지런하게 달린다. 총포는 반구형으로 줄 모양 바소꼴이고 긴 털이 난다. 화관은 혀 모양으로 길이 7~8mm, 나비 1mm정도이다. 열매는 수과로 8~9월에 익는다. 전국에 분포한다. ",http://www.forest.go.kr/images/data/down/story/cho1-210.jpg,http://www.forest.go.kr/images/data/down/story/cho2-210.jpg
6,104,너도바람꽃,산지의 반그늘,쌍떡잎식물 이판화군 : 미나리아재비목,"덩이줄기는 공 모양이고 수염뿌리가 많이 있다. 줄기는 연약하고 곧게 서며 높이는 15cm정도이다. 뿌리잎은 긴 잎자루가 있고 3갈래로 깊게 갈라지며, 갈라진 조각은 줄 모양이다. 줄기 끝에 있는 총포잎은 대가 없고 갈라진 조각은 고르지 못한 줄 모양이다. 4월에 포엽 가운데에서 길이 1cm정도의 꽃대가 나와 곧게 서며 그 끝에 흰색꽃이 한송이씩 달린다. 꽃의 지름은 2cm정도이고 꽃받침조각은 5개이며 달걀모양이고 꽃잎은 2개로 갈라진 노란색 꿀샘으로 되어 있고 수술이 많다. 열매는 골돌과로 6월에 성숙하며 2~3개로 반달 모양이다. 종자는 갈색이고 둥글며 밋밋한 편이다. 강원도 · 평안북도 · 함경북도 등지에 분포한다.",http://www.forest.go.kr/images/data/down/story/cho1-213.jpg,http://www.forest.go.kr/images/data/down/story/cho2-213.jpg
7,105,개별꽃,"습지나 갯가, 호수 주변모래땅 ",외떡잎식물 화본목 : 화본과의 여러해살이풀 ,"높이 10~15cm로 사각뿔 모양의 덩이뿌리는 살쪘고 1~2개씩 붙는다. 줄기는 1~2개씩 나오고 흰 털이 나며 잎은 마주나고 길이 10~40mm, 나비 2~4mm이다. 위쪽의 잎은 점차 작아지고 바소꼴이며, 아래쪽의 잎은 좁아져서 잎자루처럼 된다. 5월에 잎겨드랑이에서 꽃대가 나와 1개의 흰색꽃이 달린다. 
꽃받침은 5개이고 꽃잎도 5개로서 달걀을 거꾸로 세워 놓은 모양이며 길이 6mm정도이다. 수술은 10개이고 꽃밥은 노란색이며 암술대는 3갈래로 갈라지며 열매는 삭과로서 둥근 달걀 모양이고 6~7월에 익으며 3갈래로 갈라진다. 자에는 작은 돌기가 빽빽이 난다. 한국 · 일본 · 중국 등지에 분포한다.",http://www.forest.go.kr/images/data/down/story/cho1-214.jpg,http://www.forest.go.kr/images/data/down/story/cho2-214.jpg
8,106,개쑥갓,산과 들    ,쌍떡잎식물 초롱꽃목 : 국화과의 한해살이풀 또는 두해살이풀,"높이 10~40cm이며, 줄기는 붉은 자줏빛을 띠고 곧게 서거나 비스듬히 눕는다. 잎은 어긋나고 불규칙하게 깃꼴로 갈라지며, 그 조각은 부드럽고 털이 없거나 약간 나고 불규칙한 톱니가 있다. 밑쪽의 잎은 잎자루가 있고 위쪽의 잎은 길이 3~5cm, 나비 1~2.5cm로 잎자루가 없으며 밑쪽이 약간 줄기를 감싼다.
꽃은 봄부터 가을까지 노란색으로 피고, 두화는 줄기와 가지 끝에 산방상으로 달린다. 보통 통 모양이지만 때로 혀 모양의 꽃도 있으며 화관은 5개로 갈라지고 암술머리에 젖꼭지 모양의 돌기가 있고, 총포는 원기둥 모양이며 끝이 좁아지며 길이 약 7mm이고, 끝부분에는 작은 포가 있다. 
씨방에는 털이 약간 나며, 열매는 수과로 원기둥 모양이며 길이 1.5~2.5mm이고 약간 흰색이며 관모 역시 희다. 한국 전 지역에 분포한다.",http://www.forest.go.kr/images/data/down/story/cho1-216.jpg,http://www.forest.go.kr/images/data/down/story/cho2-216.jpg
9,107,광대나물,"풀밭, 습한 길가",쌍떡잎식물 통화식물목 : 꿀풀과의 두해살이풀 ,"높이 30cm정도로 줄기는 모가 나고 가지를 치며 비스듬히 눕기도 한다. 잎은 길이 5~10cm, 나비 3~8cm로서 마주나며 아래쪽 잎은 잎자루가 길고 둥글다. 위쪽 잎은 잎자루가 없고 양쪽에서 줄기를 완전히 둘러싸며 잎 앞면과 뒷면 맥 위에 털이 나고 가장자리에 톱니가 있으며 4~5월에 붉은 자줏빛 꽃이 잎겨드랑이에 여러개씩 돌련난 것처럼 핀다.
꽃받침은 끝이 5mm정도이고 5갈래로 갈라지며 잔털이 있고 화관은 대롱 부위가 길고 아랫입술꽃잎이 3갈래로 갈라지며 윗입술꽃잎은 앞으로 약간 굽는다. 4개의 수술 중 2개는 길고 닫힌 꽃도 흔히 생긴다. 열매는 분과로 3개의 능선이 있는 달걀 모양이며 전체에 흰 반점이 있고 7~8월에 익는다. 한국 · 중국 · 일본 · 타이완 · 북아메리카 등지에 분포한다.",http://www.forest.go.kr/images/data/down/story/cho1-218.jpg,http://www.forest.go.kr/images/data/down/story/cho2-218.jpg
